,Name,Health,Attack,Defense,Special Attack,Special Defense,Speed,HealthMlt,AttackMlt,DefenseMlt,SAtkMlt,SDefMlt,SpeedMlt,EvolveTo,EvolveLvl
43,Oddish,45,50,55,75,65,30,1.2,1.2,1.2,1.2,1.2,1.2,45,21
44,Gloom,60,65,70,85,75,40,1.2,1.2,1.2,1.2,1.2,1.2,46,32
45,Vileplume,75,80,85,100,90,50,1.2,1.2,1.2,1.2,1.2,1.2,0,0
46,Paras,35,70,55,45,55,25,1.2,1.2,1.2,1.2,1.2,1.2,48,24
47,Parasect,60,95,80,60,80,30,1.2,1.2,1.2,1.2,1.2,1.2,0,0
48,Venonat,60,55,50,40,55,45,1.2,1.2,1.2,1.2,1.2,1.2,50,31
49,Venomoth,70,65,60,90,75,90,1.2,1.2,1.2,1.2,1.2,1.2,0,0
50,Diglett,10,55,25,35,45,95,1.2,1.2,1.2,1.2,1.2,1.2,52,26
51,Dugtrio,35,80,50,50,70,120,1.2,1.2,1.2,1.2,1.2,1.2,0,0
52,Meowth,40,45,35,40,40,90,1.2,1.2,1.2,1.2,1.2,1.2,54,28
53,Persian,65,70,60,65,65,115,1.2,1.2,1.2,1.2,1.2,1.2,0,0
54,Psyduck,50,52,48,65,50,55,1.2,1.2,1.2,1.2,1.2,1.2,56,33
55,Golduck,80,82,78,95,80,85,1.2,1.2,1.2,1.2,1.2,1.2,0,0
56,Mankey,40,80,35,35,45,70,1.2,1.2,1.2,1.2,1.2,1.2,58,28
57,Primeape,65,105,60,60,70,95,1.2,1.2,1.2,1.2,1.2,1.2,0,0
58,Growlithe,55,70,45,70,50,60,1.2,1.2,1.2,1.2,1.2,1.2,60,28
59,Arcanine,90,110,80,100,80,95,1.2,1.2,1.2,1.2,1.2,1.2,0,0
60,Poliwag,40,50,40,40,40,90,1.2,1.2,1.2,1.2,1.2,1.2,62,28
61,Poliwhirl,65,65,65,50,50,90,1.2,1.2,1.2,1.2,1.2,1.2,63,38
62,Poliwrath,90,85,95,70,90,70,1.2,1.2,1.2,1.2,1.2,1.2,0,0
63,Abra,25,20,15,105,55,90,1.2,1.2,1.2,1.2,1.2,1.2,65,16
64,Kadabra,40,35,30,120,70,105,1.2,1.2,1.2,1.2,1.2,1.2,66,28
65,Alakazam,55,50,45,135,85,120,1.2,1.2,1.2,1.2,1.2,1.2,0,0
66,Machop,70,80,50,35,35,35,1.2,1.2,1.2,1.2,1.2,1.2,68,28
67,Machoke,80,100,70,50,60,45,1.2,1.2,1.2,1.2,1.2,1.2,69,40
68,Machamp,90,130,80,65,85,55,1.2,1.2,1.2,1.2,1.2,1.2,0,0
69,Bellsprout,50,75,35,70,30,40,1.2,1.2,1.2,1.2,1.2,1.2,71,21
70,Weepinbell,65,90,50,85,45,55,1.2,1.2,1.2,1.2,1.2,1.2,72,30
71,Victreebel,80,105,65,100,60,70,1.2,1.2,1.2,1.2,1.2,1.2,0,0
72,Tentacool,40,40,35,50,100,70,1.2,1.2,1.2,1.2,1.2,1.2,74,30
73,Tentacruel,80,70,65,80,120,100,1.2,1.2,1.2,1.2,1.2,1.2,0,0
74,Geodude,40,80,100,30,30,20,1.2,1.2,1.2,1.2,1.2,1.2,76,25
75,Graveler,55,95,115,45,45,35,1.2,1.2,1.2,1.2,1.2,1.2,77,36
76,Golem,80,110,130,55,65,45,1.2,1.2,1.2,1.2,1.2,1.2,0,0
77,Ponyta,50,85,55,65,65,90,1.2,1.2,1.2,1.2,1.2,1.2,79,40
78,Rapidash,65,100,70,80,80,105,1.2,1.2,1.2,1.2,1.2,1.2,0,0
79,Slowpoke,90,65,65,40,40,15,1.2,1.2,1.2,1.2,1.2,1.2,81,37
80,Slowbro,95,75,110,100,80,30,1.2,1.2,1.2,1.2,1.2,1.2,0,0
81,Magnemite,25,35,70,95,55,45,1.2,1.2,1.2,1.2,1.2,1.2,83,30
82,Magneton,50,60,95,120,70,70,1.2,1.2,1.2,1.2,1.2,1.2,0,0
83,Farfetch'd,52,65,55,58,62,60,1.2,1.2,1.2,1.2,1.2,1.2,0,0
84,Doduo,35,85,45,35,35,75,1.2,1.2,1.2,1.2,1.2,1.2,86,31
85,Dodrio,60,110,70,60,60,100,1.2,1.2,1.2,1.2,1.2,1.2,0,0
86,Seel,65,45,55,45,70,45,1.2,1.2,1.2,1.2,1.2,1.2,88,34
87,Dewgong,90,70,80,70,95,70,1.2,1.2,1.2,1.2,1.2,1.2,0,0
88,Grimer,80,80,50,40,50,25,1.2,1.2,1.2,1.2,1.2,1.2,90,38
89,Muk,105,105,75,65,100,50,1.2,1.2,1.2,1.2,1.2,1.2,0,0
90,Shellder,30,65,100,45,25,40,1.2,1.2,1.2,1.2,1.2,1.2,92,28
91,Cloyster,50,95,180,85,45,70,1.2,1.2,1.2,1.2,1.2,1.2,0,0
92,Gastly,30,35,30,100,35,80,1.2,1.2,1.2,1.2,1.2,1.2,94,25
93,Haunter,45,50,45,115,55,95,1.2,1.2,1.2,1.2,1.2,1.2,95,38
94,Gengar,60,65,60,130,75,110,1.2,1.2,1.2,1.2,1.2,1.2,0,0
95,Onix,35,45,160,30,45,70,1.2,1.2,1.2,1.2,1.2,1.2,0,0
96,Drowzee,60,48,45,43,90,42,1.2,1.2,1.2,1.2,1.2,1.2,98,26
97,Hypno,85,73,70,73,115,67,1.2,1.2,1.2,1.2,1.2,1.2,0,0
98,Krabby,30,105,90,25,25,50,1.2,1.2,1.2,1.2,1.2,1.2,100,28
99,Kingler,55,130,115,50,50,75,1.2,1.2,1.2,1.2,1.2,1.2,0,0
100,Voltorb,40,30,50,55,55,100,1.2,1.2,1.2,1.2,1.2,1.2,102,30
101,Electrode,60,50,70,80,80,140,1.2,1.2,1.2,1.2,1.2,1.2,0,0
102,Exeggcute,60,40,80,60,45,40,1.2,1.2,1.2,1.2,1.2,1.2,104,25
103,Exeggutor,95,95,85,125,65,55,1.2,1.2,1.2,1.2,1.2,1.2,0,0
104,Cubone,50,50,95,40,50,35,1.2,1.2,1.2,1.2,1.2,1.2,106,28
105,Marowak,60,80,110,50,80,45,1.2,1.2,1.2,1.2,1.2,1.2,0,0
106,Hitmonlee,50,120,53,35,110,87,1.2,1.2,1.2,1.2,1.2,1.2,108,20
107,Hitmonchan,50,105,79,35,110,76,1.2,1.2,1.2,1.2,1.2,1.2,0,0
108,Lickitung,90,55,75,60,75,30,1.2,1.2,1.2,1.2,1.2,1.2,0,0
109,Koffing,40,65,95,60,45,35,1.2,1.2,1.2,1.2,1.2,1.2,111,35
110,Weezing,65,90,120,85,70,60,1.2,1.2,1.2,1.2,1.2,1.2,0,0
111,Rhyhorn,80,85,95,30,30,25,1.2,1.2,1.2,1.2,1.2,1.2,113,42
112,Rhydon,105,130,120,45,45,40,1.2,1.2,1.2,1.2,1.2,1.2,0,0
113,Chansey,250,5,5,35,105,50,1.2,1.2,1.2,1.2,1.2,1.2,0,0
114,Tangela,65,55,115,100,40,60,1.2,1.2,1.2,1.2,1.2,1.2,0,0
115,Kangaskhan,105,95,80,40,80,90,1.2,1.2,1.2,1.2,1.2,1.2,0,0
116,Horsea,30,40,70,70,25,60,1.2,1.2,1.2,1.2,1.2,1.2,118,32
117,Seadra,55,65,95,95,45,85,1.2,1.2,1.2,1.2,1.2,1.2,0,0
118,Goldeen,45,67,60,35,50,63,1.2,1.2,1.2,1.2,1.2,1.2,120,33
119,Seaking,80,92,65,65,80,68,1.2,1.2,1.2,1.2,1.2,1.2,0,0
120,Staryu,30,45,55,70,55,85,1.2,1.2,1.2,1.2,1.2,1.2,122,22
121,Starmie,60,75,85,100,85,115,1.2,1.2,1.2,1.2,1.2,1.2,0,0
122,Mr. Mime,40,45,65,100,120,90,1.2,1.2,1.2,1.2,1.2,1.2,0,0
123,Scyther,70,110,80,55,80,105,1.2,1.2,1.2,1.2,1.2,1.2,0,0
124,Jynx,65,50,35,115,95,95,1.2,1.2,1.2,1.2,1.2,1.2,0,0
125,Electabuzz,65,83,57,95,85,105,1.2,1.2,1.2,1.2,1.2,1.2,0,0
126,Magmar,65,95,57,100,85,93,1.2,1.2,1.2,1.2,1.2,1.2,0,0
127,Pinsir,65,125,100,55,70,85,1.2,1.2,1.2,1.2,1.2,1.2,0,0
128,Tauros,75,100,95,40,70,110,1.2,1.2,1.2,1.2,1.2,1.2,0,0
129,Magikarp,20,10,55,15,20,80,1.2,1.2,1.2,1.2,1.2,1.2,131,20
130,Gyarados,95,125,79,60,100,81,1.2,1.2,1.2,1.2,1.2,1.2,0,0
131,Lapras,130,85,80,85,95,60,1.2,1.2,1.2,1.2,1.2,1.2,0,0
132,Ditto,48,48,48,48,48,48,1.2,1.2,1.2,1.2,1.2,1.2,0,0
133,Eevee,55,55,50,45,65,55,1.2,1.2,1.2,1.2,1.2,1.2,135|136|137,25
134,Vaporeon,130,65,60,110,95,65,1.2,1.2,1.2,1.2,1.2,1.2,0,0
135,Jolteon,65,65,60,110,95,130,1.2,1.2,1.2,1.2,1.2,1.2,0,0
136,Flareon,65,130,60,95,110,65,1.2,1.2,1.2,1.2,1.2,1.2,0,0
137,Porygon,65,60,70,85,75,40,1.2,1.2,1.2,1.2,1.2,1.2,0,0
138,Omanyte,35,40,100,90,55,35,1.2,1.2,1.2,1.2,1.2,1.2,140,40
139,Omastar,70,60,125,115,70,55,1.2,1.2,1.2,1.2,1.2,1.2,0,0
140,Kabuto,30,80,90,55,45,55,1.2,1.2,1.2,1.2,1.2,1.2,142,40
141,Kabutops,60,115,105,65,70,80,1.2,1.2,1.2,1.2,1.2,1.2,0,0
142,Aerodactyl,80,105,65,60,75,130,1.2,1.2,1.2,1.2,1.2,1.2,0,0
143,Snorlax,160,110,65,65,110,30,1.2,1.2,1.2,1.2,1.2,1.2,0,0
144,Articuno,90,85,100,95,125,85,1.2,1.2,1.2,1.2,1.2,1.2,0,0
145,Zapdos,90,90,85,125,90,100,1.2,1.2,1.2,1.2,1.2,1.2,0,0
146,Moltres,90,100,90,125,85,90,1.2,1.2,1.2,1.2,1.2,1.2,0,0
147,Dratini,41,64,45,50,50,50,1.2,1.2,1.2,1.2,1.2,1.2,19,30
148,Dragonair,61,84,65,70,70,70,1.2,1.2,1.2,1.2,1.2,1.2,150,55
149,Dragonite,91,134,95,100,100,80,1.2,1.2,1.2,1.2,1.2,1.2,0,0
150,Mewtwo,106,110,90,154,90,130,1.2,1.2,1.2,1.2,1.2,1.2,0,0
151,Mew,100,100,100,100,100,100,1.2,1.2,1.2,1.2,1.2,1.2,0,0
